PARTNUMBER,LOTNUMBER,PRODUCTNAME,HASINVENTORY,LASTINVENTORYUPDATE,BUYABLE
el2811pryaaa02,el2811pryaaa023ia000011,18KT Floral Gold & Diamond Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el2811pryaaa02,el2811pryaaa023ia000007,18KT Floral Gold & Diamond Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el2811sjaaba02,el2811sjaaba023ia000006,Mia by Tanishq 18KT Yellow Gold Diamond Stud Earrings with Open Floral Design,TRUE,2025-10-08 10:33:17 IST,TRUE
el2811sjaaba02,el2811sjaaba023ia000003,Mia by Tanishq 18KT Yellow Gold Diamond Stud Earrings with Open Floral Design,TRUE,2025-10-08 10:33:17 IST,TRUE
el2811sjaaba02,el2811sjaaba023ia000007,Mia by Tanishq 18KT Yellow Gold Diamond Stud Earrings with Open Floral Design,TRUE,2025-10-08 10:33:17 IST,TRUE
el2812puvaaa32,el2812puvaaa322ja000009,Mia Glintz by Tanishq 18KT Rose Gold Diamond And Sapphire Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el2812sqnaaa02,el2812sqnaaa022ja000005,Mia All-Rounders by Tanishq 18KT Yellow Gold Hoop Earrings with C-Design,TRUE,2025-10-08 10:33:17 IST,TRUE
el2812sqnaaa02,el2812sqnaaa022ja000004,Mia All-Rounders by Tanishq 18KT Yellow Gold Hoop Earrings with C-Design,TRUE,2025-10-08 10:33:17 IST,TRUE
el2818pexaaa02,el2818pexaaa022ja000002,Mia by Tanishq 18KT Rose Gold Diamond Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el2818pexaaa02,el2818pexaaa023ia000004,Mia by Tanishq 18KT Rose Gold Diamond Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el2818pexaaa02,el2818pexaaa023ia000005,Mia by Tanishq 18KT Rose Gold Diamond Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el2818pexaaa02,el2818pexaaa022ja000006,Mia by Tanishq 18KT Rose Gold Diamond Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el2818sexaaa02,el2818sexaaa022ja000002,Mia by Tanishq 18KT Rose Gold Diamond Stud Earrings,TRUE,2025-10-08 10:33:17 IST,TRUE
el2818sexaaa02,el2818sexaaa023ia000007,Mia by Tanishq 18KT Rose Gold Diamond Stud Earrings,TRUE,2025-10-08 10:33:17 IST,TRUE
el2818sexaaa02,el2818sexaaa023ia000006,Mia by Tanishq 18KT Rose Gold Diamond Stud Earrings,TRUE,2025-10-08 10:33:17 IST,TRUE
el2818shlaaa02,el2818shlaaa022jd000007,Mia by Tanishq 18KT Yellow and Rose Gold Diamond Stud Earrings,TRUE,2025-10-08 10:33:17 IST,TRUE
el2818shlaaa02,el2818shlaaa022jd000008,Mia by Tanishq 18KT Yellow and Rose Gold Diamond Stud Earrings,TRUE,2025-10-08 10:33:17 IST,TRUE
el2819pelaaa02,el2819pelaaa022jd000002,Mia by Tanishq 18KT Yellow Gold Diamond Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el2819pelaaa02,el2819pelaaa022jd000008,Mia by Tanishq 18KT Yellow Gold Diamond Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el2819pelaaa02,el2819pelaaa022jd000007,Mia by Tanishq 18KT Yellow Gold Diamond Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el2819pigaaa02,el2819pigaaa021bl000001,Diamond Heart Pendant Necklace,TRUE,2025-10-08 10:33:17 IST,TRUE
el2819pigaaa02,el2819pigaaa021bl000005,Diamond Heart Pendant Necklace,TRUE,2025-10-08 10:33:17 IST,TRUE
el2819pigaaa02,el2819pigaaa021bl000004,Diamond Heart Pendant Necklace,TRUE,2025-10-08 10:33:17 IST,TRUE
el2819ptwaaa02,el2819ptwaaa023ia000007,Mia by Tanishq 18KT Yellow Gold Pendant with Diamonds,TRUE,2025-10-08 10:33:17 IST,TRUE
el2819ptwaaa02,el2819ptwaaa023ia000008,Mia by Tanishq 18KT Yellow Gold Pendant with Diamonds,TRUE,2025-10-08 10:33:17 IST,TRUE
el2819sgkaaa02,el2819sgkaaa021bl000003,18KT Yellow Gold Diamond Stud Earrings,TRUE,2025-10-08 10:33:17 IST,TRUE
el2819sgmaaa02,el2819sgmaaa021bl000005,Yellow Gold Diamond Stud Earrings,TRUE,2025-10-08 10:33:17 IST,TRUE
el2822pykaaa02,el2822pykaaa022hd000003,Mamma Mia 18 KT Yellow Gold Iconic  Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
el2822pykaaa02,el2822pykaaa022hd000005,Mamma Mia 18 KT Yellow Gold Iconic  Pendant,TRUE,2025-10-08 10:33:17 IST,TRUE
